N,Naive,KMP
10000,0.000069,0.000137
20000,0.000205,0.000176
30000,0.000132,0.000168
40000,0.000177,0.000288
50000,0.000251,0.000306
60000,0.000203,0.000281
70000,0.000238,0.000298
80000,0.000220,0.000275
90000,0.000248,0.000308
100000,0.000373,0.000491
110000,0.000378,0.000382
120000,0.000358,0.000412
130000,0.000396,0.000432
140000,0.000467,0.000468
150000,0.000406,0.000546
160000,0.000431,0.000534
170000,0.000453,0.000565
180000,0.000467,0.000578
190000,0.000485,0.000594
200000,0.000505,0.000626
210000,0.000531,0.000657
220000,0.000571,0.000689
230000,0.000581,0.000719
240000,0.000608,0.000750
250000,0.000636,0.000781
260000,0.000660,0.000810
270000,0.000746,0.000922
280000,0.001238,0.001453
290000,0.000799,0.000990
300000,0.000827,0.001023
310000,0.000783,0.000999
320000,0.000808,0.000998
330000,0.000834,0.001029
340000,0.000863,0.001063
350000,0.001307,0.001930
360000,0.000996,0.001229
370000,0.001031,0.001268
380000,0.001073,0.001325
390000,0.001079,0.001383
400000,0.001131,0.001368
410000,0.001128,0.001381
420000,0.001061,0.001311
430000,0.001093,0.001339
440000,0.001110,0.001370
450000,0.001137,0.001402
460000,0.001165,0.001435
470000,0.001187,0.001466
480000,0.001215,0.001506
490000,0.001238,0.001529
500000,0.001264,0.001558
510000,0.001289,0.001589
520000,0.001316,0.001623
530000,0.001341,0.001653
540000,0.001363,0.001683
550000,0.001389,0.001713
560000,0.001558,0.001922
570000,0.001603,0.001944
580000,0.001555,0.001811
590000,0.001500,0.001839
600000,0.002655,0.002588
610000,0.001687,0.002080
620000,0.001566,0.001949
630000,0.001591,0.002001
640000,0.001637,0.001996
650000,0.001653,0.002026
660000,0.001681,0.002056
670000,0.001708,0.002091
680000,0.001738,0.002471
690000,0.001745,0.002157
700000,0.001772,0.002185
710000,0.001797,0.002216
720000,0.001830,0.002506
730000,0.002071,0.002488
740000,0.001885,0.002308
750000,0.001897,0.002340
760000,0.001933,0.002529
770000,0.001944,0.002401
780000,0.002164,0.002461
790000,0.002451,0.002786
800000,0.002096,0.002493
810000,0.002148,0.002548
820000,0.002075,0.002558
830000,0.002313,0.002830
840000,0.003333,0.003671
850000,0.002288,0.002651
860000,0.002431,0.002935
870000,0.002256,0.002714
880000,0.002242,0.002917
890000,0.002467,0.003039
900000,0.002272,0.002805
910000,0.002299,0.002836
920000,0.002324,0.002867
930000,0.002349,0.002899
940000,0.002376,0.002931
950000,0.002402,0.002969
960000,0.002468,0.002996
970000,0.002470,0.003234
980000,0.002485,0.003062
990000,0.002503,0.003086